"doc_id","date_year","batch_number","date_full","box_number","folder01","folder02","folder03","folder04"
"201","2015","5162","08/20/2015","197550025","2015 ACA BATCHES","5162 - 08/20/2015","-","-"
"202","2015","5161","08/19/2015","197550025","2015 ACA BATCHES","5161 - 08/19/2015","-","-"
"203","2015","5160","08/19/2015","197550025","2015 ACA BATCHES","5160 - 08/19/2015","-","-"
"204","2015","5159","08/19/2015","197550025","2015 ACA BATCHES","5159 - 08/19/2015","-","-"
"205","2015","5158","08/18/2015","197550025","2015 ACA BATCHES","5158 - 08/18/2015","-","-"
"206","2015","5157","08/18/2015","197550025","2015 ACA BATCHES","5157 - 08/18/2015","-","-"
"207","2015","5156","08/18/2015","197550025","2015 ACA BATCHES","5156 - 08/18/2015","-","-"
"208","2015","5155","08/18/2015","197550025","2015 ACA BATCHES","5155 - 08/18/2015","-","-"
"209","2015","5154","08/18/2015","197550025","2015 ACA BATCHES","5154 - 08/18/2015","-","-"
"210","2015","5153","08/17/2015","197550025","2015 ACA BATCHES","5153 - 08/17/2015","-","-"
"211","2015","5148","08/12/2015","197550025","2015 ACA BATCHES","5148 - 08/12/2015","-","-"
"212","2015","5149","08/12/2015","197550025","2015 ACA BATCHES","5149 - 08/12/2015","-","-"
"213","2015","5150","08/13/2015","197550025","2015 ACA BATCHES","5150 - 08/13/2015","-","-"
"214","2015","5151","08/14/2015","197550025","2015 ACA BATCHES","5151 - 08/14/2015","-","-"
"215","2015","5147","08/11/2015","197550025","2015 ACA BATCHES","5147 - 08/11/2015","-","-"
"216","2015","5152","08/14/2015","197550025","2015 ACA BATCHES","5152 - 08/14/2015","-","-"
"217","2015","5146","08/11/2015","197550025","2015 ACA BATCHES","5146 - 08/11/2015","-","-"
"218","2015","5145","08/10/2015","197550025","2015 ACA BATCHES","5145 - 08/10/2015","-","-"
"219","2015","5144","08/07/2015","197550025","2015 ACA BATCHES","5144 - 08/07/2015","-","-"
"220","2015","5143","08/07/2015","197550025","2015 ACA BATCHES","5143 - 08/07/2015","-","-"
"221","2015","5142","08/07/2015","197550025","2015 ACA BATCHES","5142 - 08/07/2015","-","-"
"222","2015","5141","08/06/2015","197550025","2015 ACA BATCHES","5141 - 08/06/2015","-","-"
"223","2015","5126","07/30/2015","197550024","2015 ACA BATCHES","5126 - 07/30/2015","-","-"
"224","2015","5125","07/30/2015","197550024","2015 ACA BATCHES","5125 - 07/30/2015","-","-"
"225","2015","5124","07/29/2015","197550024","2015 ACA BATCHES","5124 - 07/29/2015","-","-"
"226","2015","5122","07/29/2015","197550024","2015 ACA BATCHES","5122 - 07/29/2015","-","-"
"227","2015","5121","07/28/2015","197550024","2015 ACA BATCHES","5121 - 07/28/2015","-","-"
